countrycode,country,year,rgdpe,emp,hc,rkna
LKA,"Sri Lanka",1960,27030.275390625,2.85522937774658,1.59120631217957,57393.88671875
LKA,"Sri Lanka",1961,26925.68359375,2.9199378490448,1.60141181945801,58694.04296875
LKA,"Sri Lanka",1962,28734.05078125,2.98611307144165,1.61168277263641,59855.34765625
LKA,"Sri Lanka",1963,27906.638671875,3.05378770828247,1.62201976776123,61381.33203125
LKA,"Sri Lanka",1964,29041.056640625,3.12299585342407,1.63242292404175,62670.0703125
LKA,"Sri Lanka",1965,29991.283203125,3.19377326965332,1.64289283752441,63677.91796875
LKA,"Sri Lanka",1966,30715.4921875,3.26615405082703,1.71424806118011,65112.3984375
LKA,"Sri Lanka",1967,31460.37109375,3.34017562866211,1.77136886119843,66801.359375
LKA,"Sri Lanka",1968,33984.125,3.41587471961975,1.83039307594299,69030.7734375
LKA,"Sri Lanka",1969,35374.8203125,3.49328899383545,1.89138388633728,72214.6875
LKA,"Sri Lanka",1970,37300.60546875,3.57245802879334,1.95440721511841,75937.1796875
LKA,"Sri Lanka",1971,37625.16796875,3.61479234695435,1.97177505493164,79196.453125
LKA,"Sri Lanka",1972,38828.94140625,3.73771119117737,1.98929715156555,82796.3125
LKA,"Sri Lanka",1973,41414.65625,3.79932594299316,2.00697493553162,86271.109375
LKA,"Sri Lanka",1974,41569.1953125,3.822918176651,2.02481007575989,89868.640625
LKA,"Sri Lanka",1975,40134.44140625,3.84430980682373,2.04280352592468,93602.9765625
LKA,"Sri Lanka",1976,37733.8359375,3.89259433746338,2.05806159973145,98299.703125
LKA,"Sri Lanka",1977,36749.96484375,3.94034147262573,2.0734338760376,102665.1796875
LKA,"Sri Lanka",1978,36068.59765625,3.98031735420227,2.0889208316803,109696.84375
LKA,"Sri Lanka",1979,30717.76171875,4.01180601119995,2.10452342033386,117943.3984375
LKA,"Sri Lanka",1980,28759.001953125,4.04757070541382,2.12024259567261,127250.8515625
LKA,"Sri Lanka",1981,32405.265625,4.10814237594604,2.15442633628845,136198.90625
LKA,"Sri Lanka",1982,32717.490234375,4.30523777008057,2.1891610622406,144996.015625
LKA,"Sri Lanka",1983,34113.60546875,4.51776790618896,2.22445583343506,153252.125
LKA,"Sri Lanka",1984,37187.4921875,4.74117803573608,2.26031970977783,159160.796875
LKA,"Sri Lanka",1985,41875.0078125,4.98500776290894,2.29676175117493,164999.453125
LKA,"Sri Lanka",1986,45008.42578125,5.17183017730713,2.33705949783325,169352.03125
LKA,"Sri Lanka",1987,46781.73828125,5.15912914276123,2.37806439399719,174514.96875
LKA,"Sri Lanka",1988,47944.1875,5.12866306304932,2.41978883743286,177642.171875
LKA,"Sri Lanka",1989,49903.0234375,5.09320449829102,2.46224498748779,179983.359375
LKA,"Sri Lanka",1990,51727.96484375,5.03704214096069,2.505446434021,186111.78125
LKA,"Sri Lanka",1991,52744.890625,5.02452516555786,2.54971241950989,192774.75
LKA,"Sri Lanka",1992,57087.51953125,4.96909809112549,2.58334541320801,199683.03125
LKA,"Sri Lanka",1993,61894.22265625,5.18946313858032,2.61398696899414,208127.71875
LKA,"Sri Lanka",1994,65927.984375,5.24106073379517,2.64499163627625,217104.078125
LKA,"Sri Lanka",1995,69808.546875,5.29082012176514,2.67636442184448,224886.359375
LKA,"Sri Lanka",1996,75209.6171875,5.44246101379395,2.71290230751038,233470.65625
LKA,"Sri Lanka",1997,78357.671875,5.47821092605591,2.74993896484375,243071.984375
LKA,"Sri Lanka",1998,83383.6953125,5.8744478225708,2.78748154640198,255123.125
LKA,"Sri Lanka",1999,81169.4453125,5.86830282211304,2.82553648948669,265852.0625
LKA,"Sri Lanka",2000,81423.2265625,6.04424333572388,2.86411094665527,276428.90625
LKA,"Sri Lanka",2001,81279.3984375,5.94577026367188,2.87118268013,284473.3125
LKA,"Sri Lanka",2002,84431.2421875,6.19428873062134,2.87827229499817,292617.8125
LKA,"Sri Lanka",2003,90262.7890625,6.25730991363525,2.88537931442261,303660.375
LKA,"Sri Lanka",2004,92235.734375,6.32700300216675,2.8925039768219,317811.9375
LKA,"Sri Lanka",2005,95607.9296875,6.40217399597168,2.89964580535889,333244
LKA,"Sri Lanka",2006,104449.609375,6.68210744857788,2.89663290977478,356229.46875
LKA,"Sri Lanka",2007,114052.7734375,6.60653018951416,2.8936231136322,377940.875
LKA,"Sri Lanka",2008,122112.03125,6.71523141860962,2.89061641693115,398574.09375
LKA,"Sri Lanka",2009,140061.640625,6.66683292388916,2.88761258125305,418697.28125
LKA,"Sri Lanka",2010,154463.375,6.73179912567139,2.88461208343506,441275.21875
LKA,"Sri Lanka",2011,169465.203125,6.88640451431274,2.88162875175476,471383.5
LKA,"Sri Lanka",2012,179852.6875,6.77074289321899,2.87865304946899,506082.75
LKA,"Sri Lanka",2013,194870.390625,6.99153709411621,2.87568497657776,545185.3125
LKA,"Sri Lanka",2014,213249.34375,6.96826410293579,2.87272477149963,583719.5625
MEX,"Mexico",1950,124187.046875,7.81690740585327,1.53093492984772,399301.53125
MEX,"Mexico",1951,134276.15625,7.90731859207153,1.53150415420532,406271.1875
