countrycode,country,year,rgdpna,emp,rkna,delta,n,yr_sch
GTM,"Guatemala",2010,96072.375,4.34727144241333,260478.28125,0.0465324819087982,-0.0274651370755349,4.57
HKG,"China, Hong Kong SAR",2010,299296,3.36605167388916,1436132.75,0.0450724847614765,0.00960098352515277,11.38
HND,"Honduras",2010,32447.369140625,2.94007897377014,107767.671875,0.0594936646521091,0.0168322235509797,6.19
HRV,"Croatia",2010,85476.828125,1.63539791107178,377393.03125,0.044437762349844,-0.0402486297248494,11.3
HTI,"Haiti",2010,15841.8828125,3.85861611366272,108021.171875,0.0129998410120606,0.0213880979782785,5.11
HUN,"Hungary",2010,205025.328125,4.0104079246521,929611.6875,0.0432837754487991,-0.00338051014087868,11.85
IDN,"Indonesia",2010,2040385.75,108.924430847168,10520049,0.0365683883428574,0.0338117232849262,7.61
IND,"India",2010,5577653,487.509185791016,16199758,0.0549157708883286,0.0043709027894747,6.24
IRL,"Ireland",2010,222146.46875,1.88045632839203,888218.0625,0.0483139343559742,-0.0372108846900561,12.03
IRN,"Iran (Islamic Republic of)",2010,1306119,21.645092010498,3274892.5,0.0591745264828205,0.00462241348677108,8.88
IRQ,"Iraq",2010,332049.71875,6.45928335189819,526256.1875,0.0570989474654198,0.0384640564964475,7.16
ISL,"Iceland",2010,11565.0263671875,0.17234867811203,50938.95703125,0.0404510200023651,0.000944162522649948,11.05
ISR,"Israel",2010,211500.125,3.44269847869873,668064.25,0.0452385656535625,0.0356179784709267,12.32
ITA,"Italy",2010,2085554.375,24.2797908782959,11598230,0.0386467948555946,-0.00910237521598233,9.63
JAM,"Jamaica",2010,19321.83203125,1.05373871326447,128061.125,0.0365112200379372,-0.030335976249081,9.87
JOR,"Jordan",2010,76542.828125,1.56723439693451,180398.953125,0.0434886775910854,0.0395681308591236,9.59
JPN,"Japan",2010,4471535.5,64.352912902832,17106916,0.0471739955246449,-0.0034656557578573,11.6
KAZ,"Kazakhstan",2010,328668.15625,7.92455339431763,599164.5,0.0394591428339481,0.0267212043934716,11.33
KEN,"Kenya",2010,105861.640625,15.100269317627,228498.671875,0.0510343834757805,0.0229931798214925,6.14
KGZ,"Kyrgyzstan",2010,21710.169921875,2.24050498008728,28561.849609375,0.0334376618266106,0.0179773323729882,10.71
KHM,"Cambodia",2010,34019.83984375,8.4930534362793,66665.265625,0.0500520691275597,0.0317907586402338,4.72
